Neighborhood,Cod,Borough
Aeroporto,DAMOS,Mosqueiro
Água Boa (Outeiro),DAOUT,Outeiro
Águas Lindas,DAENT,Entroncamento
Águas Negras,DAICO,Icoaraci
Agulha (Icoaraci),DAICO,Icoaraci
Ariramba,DAMOS,Mosqueiro
Aura,DAENT,Entroncamento
Baía do Sol (Mosqueiro),DAMOS,Mosqueiro
Barreiro,DASAC,Sacramenta
Batista Campos,DABEL,Belém
Bengui,DABEN,Bengui
Bonfim,DAMOS,Mosqueiro
Brasília (Outeiro),DAOUT,Outeiro
Cabanagem,DABEN,Bengui
Campina,DABEL,Belém
Campina de Icoaraci,DAICO,Icoaraci
Canudos,DAGUA,Guamá
Carananduba,DAMOS,Mosqueiro
Caruara,DAMOS,Mosqueiro
Castanheira,DAENT,Entroncamento
Chapéu Virado,DAMOS,Mosqueiro
Cidade Velha,DABEL,Belém
Condor,DAGUA,Guamá
Coqueiro,DABEN,Bengui
Cotijuba,DAICO,Icoaraci
Cremacao,DAGUA,Guamá
Cruzeiro,DAICO,
Curió Utinga,DAENT,Entroncamento
Farol,DAMOS,Mosqueiro
Fátima,DASAC,Sacramenta
Guamá,DAGUA,Guamá
Guanabara,DAENT,Entroncamento
Icoaraci,DAICO,Icoaraci
Itaiteua,DAOUT,Outeiro
Jurunas,DAGUA,Guamá
Mangueirão,DAENT,Entroncamento
Mangueiras,DAMOS,Mosqueiro
Maracacueira,DAICO,Icoaraci
Maracajá (Mosqueiro),DAMOS,Mosqueiro
Maracangalha,DASAC,Sacramenta
Marahú,DAMOS,Mosqueiro
Marambaia,DAENT,Entroncamento
Marco,DABEL,Belém
Miramar,DASAC,Sacramenta
Murubira (Mosqueiro),DAMOS,Mosqueiro
Natal do Murubira (Mosqueiro),DAMOS,Mosqueiro
Nazaré,DABEL,Belém
Paracuri 1(Icoaraci),DAICO,Icoaraci
Paraíso,DAMOS,Mosqueiro
Parque Guajará,DAICO,Icoaraci
Parque Verde,DABEN,Bengui
Pedreira,DASAC,Sacramenta
Ponta Grossa,DAICO,Icoaraci
Porto Arthur (Mosqueiro),DAMOS,Mosqueiro
Praia Grande (Mosqueiro),DAMOS,Mosqueiro
Pratinha (Icoaraci),DABEN,Bengui
Reduto,DABEL,Belém
Sacramenta,DASAC,Sacramenta
São Brás,DABEL,Belém
São Clemente,DABEN,Bengui
São Francisco (Mosqueiro),DAMOS,Mosqueiro
São João do Outeiro (Outeiro),DAOUT,Outeiro
Souza,DAENT,Entroncamento
Sucurijuquara (Mosqueiro),DAMOS,Mosqueiro
Tapanã (Icoaraci),DABEN,Bengui
Telégrafo Sem Fio,DASAC,Sacramenta
Tenoné,DAICO,Icoaraci
Terra Firme,DAGUA,Guamá
Umarizal,DABEL,Belém
Una,DABEN,Bengui
Universitário,DAENT,Entroncamento
Val de Caes,DAENT,Entroncamento
Vila (Mosqueiro),DAMOS,Mosqueiro
